name	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B	length
18272	VTN	64	128	70	132	32	67	3	2	0	0	3	2	3077
18273	VWA1	14	53	20	71	17	29	1	3	1	2	0	0	7361
18274	VWA2	2	3	0	0	3	2	12	19	5	15	6	41	54888
18275	VWA3A	18	44	21	61	37	38	10	6	6	21	4	4	64430
18276	VWA3B	0	1	0	3	3	0	17	14	8	20	8	31	163454
18277	VWA5A	6	12	4	11	7	7	16	15	3	13	8	7	9434
18278	VWA5B1	2	0	0	1	4	4	76	79	4	30	42	137	63977
18279	VWA5B2	8	47	21	40	17	23	44	26	45	54	11	20	8915
18280	VWA7	0	0	0	0	0	0	0	0	0	0	0	0	11739
18281	VWA8	437	1233	379	1167	724	857	555	663	225	722	272	880	241750
18282	VWC2	0	0	1	0	0	1	9	9	7	16	2	19	143091
18283	VWC2L	2	1	4	5	2	1	13	16	5	7	11	46	167386
18284	VWCE	122	361	137	349	245	288	257	443	179	500	154	471	37032
18285	VWDE	51	174	53	186	95	121	83	71	31	71	30	81	73058
18286	VWF	6	22	8	21	12	13	115	110	49	133	76	185	175803
18287	WAC	775	2310	748	2270	1240	1435	1792	2405	913	2728	696	1996	89622
18288	WAPL	503	1547	565	1438	824	1001	1379	1584	772	1951	473	1423	86530
18289	WARS	213	683	227	666	322	408	204	224	136	269	85	277	41804
18290	WARS2	116	339	109	318	205	194	651	707	252	643	206	677	109458
18291	WAS	0	6	4	5	3	0	1	2	1	1	1	0	7632
18292	WASF1	173	442	233	480	211	302	278	335	237	424	132	333	80187
18293	WASF2	330	789	316	822	544	536	602	755	293	672	225	624	85963
18294	WASF3	16	21	14	23	13	17	234	302	127	339	212	518	131244
18295	WASHC1	2	3	1	3	4	1	1	1	1	1	0	0	15230
18296	WASHC2A	17	56	20	43	20	30	29	30	18	36	12	25	65623
18297	WASHC2C	21	41	18	38	20	19	29	19	10	17	11	22	65766
18298	WASHC3	166	477	178	460	260	328	96	134	53	108	59	125	49286
18299	WASHC4	386	1034	362	1087	594	677	368	521	165	553	287	775	61422
18300	WASHC5	433	1371	400	1353	708	914	1004	1290	494	1371	428	1210	67561
18301	WASL	465	1323	461	1357	722	787	468	524	205	570	257	654	67146
18302	WBP1	78	233	102	227	124	141	92	134	85	169	40	125	2493
18303	WBP11	107	355	90	290	146	193	284	372	137	369	156	429	16991
18304	WBP1L	144	367	202	430	270	309	775	1147	301	764	236	856	40135
18305	WBP2	441	1007	451	1112	626	695	344	401	203	510	122	314	9723
18306	WBP2NL	25	74	14	69	49	48	83	113	36	140	31	97	29752
18307	WBP4	114	263	59	240	210	222	288	397	94	336	116	349	22757
18308	WDCP	74	212	140	187	135	148	137	128	70	164	50	189	18092
18309	WDFY1	341	1071	397	988	555	611	783	891	543	1154	210	682	70046
18310	WDFY2	271	745	234	687	472	498	352	409	164	541	124	318	177689
18311	WDFY3	718	1876	670	1812	1112	1167	1804	2068	884	2227	712	1976	296856
18312	WDFY4	0	1	0	1	0	1	13	13	13	7	5	12	297485
18313	WDHD1	180	586	152	631	253	368	894	926	432	934	341	903	88165
18314	WDPCP	50	144	45	142	59	92	98	152	52	164	34	156	78315
18315	WDR1	1056	2425	1168	2472	1691	1665	1362	1576	737	1779	535	1568	42612
18316	WDR11	198	687	178	590	320	386	486	561	179	559	202	525	58353
18317	WDR12	77	238	87	244	142	143	187	228	104	264	74	260	31628
18318	WDR13	174	440	146	386	378	320	364	393	174	295	152	311	7387
18319	WDR17	23	92	27	84	30	47	20	23	12	37	7	20	116996
18320	WDR18	109	243	125	271	141	178	195	267	139	289	112	279	10244
18321	WDR19	94	243	78	271	135	159	281	277	132	419	82	285	103408
18322	WDR20	290	724	273	778	458	503	366	399	200	519	136	346	70680
18323	WDR24	110	396	189	418	197	297	108	109	84	136	61	124	5804
18324	WDR25	419	1228	483	1225	631	714	460	552	222	569	199	608	153829
18325	WDR26	893	1577	873	1615	1254	1019	920	935	568	1089	316	835	49158
18326	WDR27	240	821	318	785	418	607	455	586	292	577	217	655	44306
18327	WDR3	47	200	54	187	100	111	316	375	148	474	124	336	30679
18328	WDR31	75	290	95	303	144	179	85	104	46	108	40	125	27120
18329	WDR33	119	398	119	390	224	239	591	743	262	683	221	725	48703
18330	WDR34	318	902	367	1024	499	537	489	480	379	666	223	364	23191
18331	WDR35	191	564	221	565	352	406	296	336	197	470	114	346	79862
18332	WDR36	139	469	142	432	248	271	471	617	190	601	177	628	38332
18333	WDR37	498	1217	539	1360	732	893	284	301	156	332	114	311	75463
18334	WDR38	0	2	1	2	4	11	0	2	1	2	0	2	4476
18335	WDR4	303	904	359	933	464	645	559	727	312	695	241	760	30051
18336	WDR41	210	685	314	736	399	473	469	467	274	591	183	453	61609
18337	WDR43	470	1306	424	1246	778	900	1327	1652	534	1620	434	1491	53579
18338	WDR44	182	493	181	505	300	295	150	179	84	259	80	172	103890
18339	WDR45	123	364	138	323	168	234	117	165	90	148	72	156	5474
18340	WDR45B	420	1208	440	1258	638	785	808	926	473	981	365	1004	33975
18341	WDR46	0	0	0	0	0	0	0	0	0	0	0	0	10426
18342	WDR47	149	342	226	411	264	271	351	290	262	339	167	295	72016
18343	WDR48	164	452	144	389	291	278	313	345	151	364	109	354	44381
18344	WDR49	5	18	5	15	10	15	7	5	5	12	5	5	175301
18345	WDR5	235	695	252	711	413	467	351	507	237	584	185	421	20182
18346	WDR53	55	212	64	208	102	144	151	286	94	227	111	245	8815
18347	WDR54	49	135	47	120	62	74	46	40	34	65	9	32	4034
18348	WDR55	51	150	39	178	72	80	57	70	42	93	38	62	6171
18349	WDR59	229	716	250	782	291	486	543	705	350	850	192	560	73004
18350	WDR5B	99	284	107	345	141	246	80	127	55	142	33	143	4184
18351	WDR6	206	548	190	476	315	356	560	700	289	688	214	617	8350
18352	WDR60	383	990	323	923	883	1065	614	714	235	423	1167	2685	89616
18353	WDR61	293	643	214	617	560	424	343	332	161	334	163	336	16493
18354	WDR62	630	2778	744	2597	1059	1498	1282	1371	821	1642	377	1044	50231
18355	WDR63	6	41	6	33	12	22	22	17	17	17	14	22	70842
18356	WDR64	4	15	4	17	17	15	2	15	2	11	3	12	149857
18357	WDR66	113	297	146	314	206	197	501	646	259	662	208	556	53514
18358	WDR7	383	1150	335	1059	538	688	664	813	317	811	261	819	378422
18359	WDR70	472	1379	444	1324	719	901	1351	1653	660	1893	493	1689	373414
18360	WDR72	110	256	115	272	179	188	10	5	9	7	4	11	27364
18361	WDR73	320	972	323	961	449	552	317	402	198	461	147	382	12850
18362	WDR74	128	322	135	360	214	223	411	401	163	456	139	362	6756
18363	WDR75	141	449	146	386	196	253	569	678	258	690	214	700	34131
18364	WDR76	64	223	48	215	68	94	180	221	83	211	64	173	41507
18365	WDR77	86	194	117	224	153	127	225	296	154	330	133	341	9420
18366	WDR78	130	365	121	406	242	245	145	141	118	153	79	158	87290
18367	WDR81	1	1	0	2	1	0	0	1	2	1	1	3	13770
18368	WDR82	257	652	312	737	472	470	457	613	341	671	241	630	24223
18369	WDR83	51	123	49	139	79	112	77	67	30	70	28	50	6131
18370	WDR83OS	166	483	216	452	300	357	321	534	272	515	181	531	1586
18371	WDR86	27	80	39	69	32	36	10	22	6	22	9	36	28919
18372	WDR87	95	203	119	255	124	194	39	47	26	58	19	54	21885
18373	WDR88	45	117	71	144	85	96	47	61	32	82	24	67	43709
18374	WDR89	177	511	159	523	277	351	368	438	196	449	162	454	44886
18375	WDR90	271	941	370	955	453	594	301	435	206	463	134	378	18468
18376	WDR91	127	352	126	327	142	233	92	90	65	126	37	102	27728
18377	WDR92	157	398	160	350	249	255	260	309	136	309	119	311	23472
18378	WDR93	3	6	4	7	5	7	6	5	2	4	5	4	13683
18379	WDR97	121	391	207	423	228	282	141	255	141	294	89	256	8693
18380	WDSUB1	69	261	78	243	135	175	132	181	92	193	58	161	50761
18381	WDTC1	73	190	83	247	131	140	132	202	71	141	85	279	74119
18382	WDYHV1	60	188	55	135	84	128	232	316	146	319	109	307	25517
18383	WEE1	124	397	93	436	286	432	364	514	205	624	117	389	15082
18384	WEE2	0	0	0	0	0	0	0	0	0	0	0	0	22920
18385	WFDC1	0	2	0	1	1	1	1	3	1	0	1	0	35147
18386	WFDC10A	0	0	0	0	0	0	0	0	0	0	0	0	1448
18387	WFDC10B	1	5	3	7	4	2	13	14	6	15	1	11	20370
18388	WFDC11	0	0	0	0	0	0	0	0	0	0	2	2	21678
18389	WFDC12	0	0	0	0	0	0	0	0	0	0	0	0	1041
18390	WFDC13	0	0	0	0	0	0	0	0	0	0	1	0	6803
18391	WFDC2	0	0	0	0	0	1	19	13	13	19	6	15	11780
18392	WFDC3	51	87	34	83	65	57	326	413	118	340	38	179	17702
18393	WFDC5	0	0	0	0	0	0	0	0	0	0	1	5	5722
18394	WFDC6	0	0	0	0	0	0	1	1	0	0	5	14	5300
18395	WFDC8	0	0	0	0	0	0	1	2	0	0	1	3	27566
18396	WFDC9	0	1	0	0	1	0	8	8	1	9	4	14	23331
18397	WFIKKN1	16	46	25	56	19	31	6	6	8	19	1	3	3106
18398	WFIKKN2	0	0	0	0	0	0	1	0	0	0	0	0	7106
18399	WFS1	157	394	194	461	182	235	384	546	316	755	66	210	33417
18400	WHAMM	182	522	192	503	245	306	112	124	59	181	39	78	25235
18401	WHRN	66	206	67	208	108	138	36	33	21	46	21	34	24089
18402	WIF1	0	0	1	0	0	1	0	0	0	0	0	3	70944
18403	WIPF1	218	507	190	446	346	315	165	167	90	196	51	150	75007
18404	WIPF2	253	718	286	741	444	487	438	490	256	590	127	395	62867
18405	WIPF3	67	172	62	150	70	102	44	50	20	54	30	113	110514
18406	WIPI1	750	1753	580	1514	1033	1236	460	641	236	580	161	423	36245
18407	WIPI2	214	638	291	709	371	482	353	537	235	657	167	484	19588
18408	WISP1	22	41	15	46	48	52	112	102	33	66	117	222	40653
18409	WISP2	29	70	26	79	69	82	45	61	2	5	16	36	12970
18410	WISP3	0	0	0	0	0	0	0	2	0	0	1	3	15520
18411	WIZ	103	315	108	309	185	187	303	385	190	374	138	325	11029
18412	WLS	316	1014	327	949	504	569	1039	1269	481	1317	446	1360	107190
18413	WNK1	871	2546	899	2606	1296	1595	1121	1253	646	1749	418	1184	158531
18414	WNK2	228	707	251	686	419	411	458	517	256	532	251	624	134445
18415	WNK3	2	8	2	6	3	2	209	252	114	293	101	268	165184
18416	WNK4	155	492	203	568	274	365	421	593	284	660	172	515	16437
18417	WNT1	2	4	1	4	4	8	0	0	0	1	0	1	4162
18418	WNT10A	0	5	2	5	5	2	164	281	180	479	45	149	13398
18419	WNT10B	1	7	5	4	0	1	33	30	22	41	4	24	6520
18420	WNT11	11	23	15	30	13	25	10	10	10	15	5	12	20206
18421	WNT16	0	0	0	0	1	2	0	0	0	0	1	1	12070
18422	WNT2	1	0	0	0	0	1	10	22	14	23	17	53	46660
18423	WNT2B	1	13	4	12	7	3	29	36	12	35	14	30	12542
18424	WNT3	0	0	0	0	0	0	0	0	0	0	0	0	56256
18425	WNT3A	13	34	18	45	31	30	45	58	14	47	16	44	54251
18426	WNT4	36	88	47	89	53	54	37	44	20	60	14	66	25723
18427	WNT5A	29	93	20	84	66	59	208	346	54	106	166	413	15685
18428	WNT5B	5	6	6	6	7	7	24	42	27	59	19	52	17967
18429	WNT6	7	10	6	17	6	4	41	38	35	101	8	17	14411
18430	WNT7A	3	5	5	2	6	1	168	179	114	317	34	122	61538
18431	WNT7B	1000	3926	1229	4141	675	1073	93	103	75	134	28	67	56764
18432	WNT8A	0	0	1	2	0	0	0	0	0	0	0	0	7651
18433	WNT8B	0	0	1	4	0	1	1	0	0	0	0	3	20589
18434	WNT9A	92	266	128	308	145	164	63	72	53	125	30	50	29276
18435	WNT9B	0	0	0	0	0	0	0	0	0	0	0	0	28976
18436	WRAP53	69	296	102	318	137	154	109	103	57	155	23	73	15155
18437	WRAP73	122	330	132	338	167	231	234	244	156	252	107	279	19342
18438	WRB	23	88	35	94	36	63	10	20	5	42	12	15	10128
18439	WRB-SH3BGR	263	772	327	819	335	550	113	113	81	148	57	137	135264
18440	WRN	268	801	234	789	376	481	630	745	213	695	213	659	142611
18441	WRNIP1	121	381	134	355	188	226	193	237	107	286	74	200	20315
18442	WSB1	211	636	190	553	297	365	225	283	97	286	84	242	19612
18443	WSB2	325	849	374	841	400	495	586	663	429	857	192	410	28526
18444	WSCD1	87	225	94	247	118	176	22	22	13	22	8	22	53815
18445	WSCD2	0	1	0	0	1	1	1	5	0	7	1	6	118808
18446	WT1	49	160	56	132	111	125	78	90	43	152	40	114	43044
18447	WTAP	226	633	176	621	317	374	310	466	171	478	131	435	21923
18448	WTIP	210	644	258	611	303	323	631	811	408	896	226	525	19207
18449	WWC1	3108	7681	2829	7421	3624	3419	1458	2171	737	2222	555	1770	180245
18450	WWC2	480	1259	436	1198	789	814	1534	1979	798	2486	513	1812	221469
18451	WWC3	690	1719	755	1720	1077	1232	196	209	69	188	65	136	128725
18452	WWOX	216	821	273	794	403	539	373	470	215	592	146	399	179308
18453	WWP1	478	1562	445	1447	677	936	730	971	432	1315	236	738	125189
18454	WWTR1	2369	5961	1974	5256	6832	6895	905	1164	415	761	524	1247	140798
18455	XAB2	87	295	114	303	163	223	146	231	87	225	84	208	10030
18456	XAF1	4	4	6	6	4	0	2	2	0	1	1	8	19816
18457	XAGE1A	0	0	0	0	0	0	0	0	0	0	0	0	4993
18458	XAGE1B	0	0	0	0	0	0	0	0	0	0	0	0	4993
18459	XAGE2	0	0	0	0	0	0	1	5	1	7	2	9	6675
18460	XAGE3	0	0	0	0	0	0	0	0	0	0	1	2	4775
18461	XAGE5	1	0	1	0	0	0	35	40	18	41	17	41	6096
18462	XBP1	158	487	166	485	229	380	255	308	169	310	115	306	6014
18463	XCL1	0	0	1	0	0	1	14	6	7	7	6	17	5606
18464	XCL2	0	0	1	0	0	0	0	0	0	0	0	0	3234
18465	XCR1	0	0	0	0	0	0	0	0	0	0	0	0	6690
18466	XDH	301	642	276	521	329	252	662	698	186	492	221	671	80425
18467	XG	2	7	1	4	1	5	5	2	2	2	2	2	64450
18468	XIAP	209	725	197	700	377	517	151	222	66	225	58	181	53814
18469	XIRP1	0	0	0	0	0	2	14	31	5	10	3	21	9388
18470	XIRP2	0	0	0	0	0	0	10	19	8	13	4	8	72472
18471	XK	26	65	22	69	46	41	22	30	5	20	16	53	46376
18472	XKR3	1	4	2	4	2	3	0	1	1	3	2	1	38289
18473	XKR4	6	11	2	11	2	3	145	184	62	255	57	183	423700
18474	XKR5	18	99	24	76	32	42	235	268	169	322	93	262	27129
18475	XKR6	17	60	19	64	23	34	216	304	94	247	97	317	305224
18476	XKR7	14	18	9	31	14	11	9	9	2	11	4	13	30453
18477	XKR8	26	58	26	60	31	50	10	12	7	9	14	54	8636
18478	XKR9	9	20	6	22	19	11	62	49	19	57	19	64	66497
18479	XKRX	36	92	46	86	201	190	11	13	5	11	7	11	15469
18480	XKRY	0	0	0	0	0	0	0	0	0	0	0	0	1582
18481	XKRY2	0	0	0	0	0	0	0	0	0	0	0	0	1582
18482	XPA	178	501	225	517	293	335	262	344	178	412	87	338	22502
18483	XPC	442	1315	497	1342	705	941	674	809	373	813	365	872	33527
18484	XPNPEP1	336	1143	489	1064	532	726	464	590	359	687	197	594	58482
18485	XPNPEP2	2	1	0	1	0	1	3	3	1	3	1	5	30581
18486	XPNPEP3	32	79	30	116	71	44	157	186	51	189	52	149	5702
18487	XPO1	706	2118	687	2233	1283	1581	1565	2002	695	1962	621	1836	60351
18488	XPO4	285	811	281	814	494	529	643	913	324	1019	240	827	125447
18489	XPO5	165	492	213	597	282	320	451	631	391	1070	236	561	53747
18490	XPO6	668	1822	716	1859	934	974	915	1157	513	1433	319	916	113944
18491	XPO7	368	1081	352	1108	505	638	564	636	309	781	195	509	86918
18492	XPOT	249	816	275	893	359	479	507	572	292	687	161	480	46782
18493	XPR1	659	1572	589	1592	998	994	422	485	200	610	161	523	206860
18494	XRCC1	243	730	307	752	360	454	383	362	316	508	169	308	32268
18495	XRCC2	129	574	138	557	251	317	359	458	194	463	190	469	29669
18496	XRCC3	328	1251	399	1161	545	757	569	717	377	736	266	661	17871
18497	XRCC4	203	610	177	573	277	376	523	586	219	654	186	540	233662
18498	XRCC5	976	2702	833	2721	1440	1594	2541	2820	1141	2975	880	2530	96998
18499	XRCC6	211	684	198	667	395	398	707	797	356	960	264	702	42708
18500	XRN1	162	447	268	482	290	339	212	195	100	191	69	217	30223
18501	XRN2	620	1996	615	1840	1025	1173	1014	1477	512	1534	404	1251	86329
18502	XRRA1	121	454	168	507	237	294	588	610	325	671	241	653	108279
18503	XXYLT1	377	960	385	934	577	682	288	412	146	333	159	479	179638
18504	XYLB	24	82	16	74	26	46	49	82	28	90	24	61	10400
18505	XYLT1	197	404	198	384	293	272	177	155	101	162	93	246	368559
18506	XYLT2	272	697	225	637	449	406	230	285	135	310	88	277	15155
18507	YAE1D1	31	123	36	108	61	71	120	142	67	174	31	119	6507
18508	YAF2	67	223	77	206	147	113	131	156	67	143	56	192	7146
18509	YAP1	592	1727	477	1541	1324	1708	767	858	410	1089	219	671	120985
18510	YARS	226	640	218	711	272	414	624	650	313	701	212	565	42795
18511	YARS2	93	290	112	307	159	221	163	252	103	228	75	279	9411
18512	YBEY	20	87	15	53	27	37	48	38	20	34	11	36	6193
18513	YBX1	218	594	221	631	349	364	1270	1460	496	1597	369	1259	21570
18514	YBX2	1	5	0	6	0	3	38	34	35	50	15	32	6307
18515	YBX3	249	765	275	808	450	555	688	959	341	1035	458	1224	24279
18516	YDJC	94	223	72	284	135	127	132	244	105	237	81	238	1964
18517	YEATS2	203	564	188	615	317	321	545	766	309	905	163	625	83225
18518	YEATS4	100	296	60	263	162	143	179	224	51	199	52	208	31162
18519	YES1	207	574	217	579	299	373	937	1020	521	1359	269	849	90736
18520	YIF1A	94	299	130	331	154	239	162	213	103	249	69	239	4589
18521	YIF1B	258	845	300	883	508	541	235	234	155	299	90	185	12247
18522	YIPF1	102	253	92	297	162	175	214	240	110	284	80	233	38097
18523	YIPF2	23	100	52	112	49	94	56	46	48	45	24	51	5901
18524	YIPF3	106	264	148	271	168	194	184	211	126	236	82	258	5165
18525	YIPF4	106	261	84	261	129	210	171	220	74	234	59	210	28702
18526	YIPF5	102	298	103	303	179	196	143	176	93	192	54	185	12557
18527	YIPF6	177	589	154	502	286	316	382	467	151	463	135	462	38505
18528	YIPF7	5	6	3	3	0	1	3	4	0	3	0	3	29306
18529	YJEFN3	182	512	272	573	328	426	390	410	278	558	154	381	8725
18530	YJU2	80	257	85	219	133	148	168	195	95	229	62	217	22025
18531	YKT6	158	552	189	511	309	346	398	551	242	591	195	540	13317
18532	YLPM1	375	1030	370	1012	542	648	532	627	279	756	207	589	73946
18533	YME1L1	416	1221	415	1109	559	731	696	885	333	872	293	859	44311
18534	YOD1	176	484	249	565	320	351	196	325	141	323	123	288	7230
18535	YPEL1	49	165	65	187	95	121	138	232	86	236	94	251	38300
18536	YPEL2	183	541	232	588	296	394	608	1001	227	821	174	782	70044
18537	YPEL3	47	101	76	164	85	98	44	51	40	75	15	40	3886
18538	YPEL4	10	9	16	14	7	10	26	13	23	13	9	11	4859
18539	YPEL5	141	361	148	304	238	208	295	336	119	368	93	232	13651
18540	YRDC	112	315	145	376	253	234	354	439	209	453	133	438	5253
18541	YTHDC1	0	0	0	0	0	0	0	0	0	0	0	0	39732
18542	YTHDC2	161	567	140	499	269	305	355	411	139	469	119	407	81627
18543	YTHDF1	368	1126	467	1145	515	672	864	1286	527	1200	778	2275	20759
18544	YTHDF2	190	588	196	524	333	372	411	454	209	512	156	381	32837
18545	YTHDF3	240	762	213	683	335	412	487	636	238	707	176	567	43787
18546	YWHAB	192	538	169	515	346	356	768	965	360	1039	279	888	22935
18547	YWHAE	0	0	0	0	0	0	0	0	0	0	0	1	55724
18548	YWHAG	737	2329	1092	2451	1433	1620	1227	1538	794	1874	479	1405	32236
18549	YWHAH	174	503	183	510	260	306	722	865	456	1071	230	619	13112
18550	YWHAQ	567	1587	705	1648	1983	2100	1725	2414	543	1395	1139	3271	47090
18551	YWHAZ	631	1699	572	1715	913	1062	1044	1319	504	1638	312	900	31997
18552	YY1	264	838	275	867	497	522	402	485	243	597	139	397	40271
18553	YY1AP1	45	204	52	188	107	103	166	156	79	210	58	181	20389
18554	YY2	10	30	11	23	17	28	5	7	4	11	3	3	2742
18555	ZACN	0	0	0	0	0	0	0	0	0	0	0	0	3624
18556	ZADH2	85	250	73	192	176	184	229	315	125	282	155	400	10407
18557	ZAN	0	1	0	1	0	3	0	0	0	2	0	1	64173
18558	ZAP70	0	3	1	3	0	2	1	2	1	2	17	30	5456
18559	ZAR1	3	11	6	7	11	10	8	9	6	8	0	5	4139
18560	ZAR1L	0	1	0	0	0	1	1	0	0	2	1	1	8185
18561	ZASP	9	46	13	38	14	16	16	22	13	35	6	19	700
18562	ZBBX	2	2	2	1	1	3	21	12	4	18	4	13	139998
18563	ZBED1	0	0	0	0	0	0	0	0	0	0	0	0	14127
18564	ZBED2	2	4	0	3	0	2	16	4	8	10	3	3	2437
18565	ZBED3	44	212	101	169	109	164	96	108	43	111	48	143	10571
18566	ZBED4	129	409	163	446	218	288	328	437	261	569	136	464	36231
18567	ZBED5	284	997	543	1055	348	554	253	316	180	302	111	370	5371
18568	ZBED6	47	123	52	142	81	82	177	175	93	214	53	158	3553
18569	ZBED6CL	1	3	1	2	3	1	0	0	0	0	0	0	2874
18570	ZBED8	160	639	161	591	250	375	207	376	162	282	115	462	6951
18571	ZBED9	0	0	0	0	0	0	0	0	0	0	0	0	15707
18572	ZBP1	4	20	11	24	6	10	0	2	1	1	0	0	7693
18573	ZBTB1	282	840	251	727	365	430	373	434	206	670	116	295	20379
18574	ZBTB10	152	438	149	417	238	254	338	427	173	503	132	409	40054
18575	ZBTB11	205	465	176	492	303	340	256	314	185	422	119	294	27707
18576	ZBTB12	0	0	0	0	0	0	0	0	0	0	0	0	2377
18577	ZBTB14	84	261	131	269	144	168	270	327	165	338	127	261	6685
18578	ZBTB16	4	8	3	4	21	27	1205	1722	48	32	610	1795	193561
18579	ZBTB17	149	500	195	505	241	320	459	565	296	629	159	515	34265
18580	ZBTB18	35	89	39	103	38	37	37	58	22	66	15	44	4273
18581	ZBTB2	242	576	260	642	415	412	438	512	302	544	211	479	27587
18582	ZBTB20	529	1158	442	1133	811	745	464	427	174	497	185	494	69144
18583	ZBTB21	249	611	260	681	332	375	253	286	186	417	89	239	23558
18584	ZBTB22	0	0	0	0	0	0	0	0	0	0	0	0	3332
18585	ZBTB24	78	154	86	160	111	112	65	80	41	65	40	124	2290
18586	ZBTB25	66	219	63	187	104	123	69	71	35	89	26	50	11756
18587	ZBTB26	80	230	62	191	119	118	105	104	59	99	45	88	13238
18588	ZBTB3	48	148	55	161	100	117	63	86	66	94	27	91	3223
18589	ZBTB32	39	153	90	175	82	141	22	24	32	38	19	53	12553
18590	ZBTB33	42	131	61	119	71	80	36	46	25	45	18	45	7643
18591	ZBTB34	173	544	237	553	326	418	168	249	135	367	46	227	25215
18592	ZBTB37	32	87	44	94	59	50	50	38	20	52	20	38	5348
18593	ZBTB38	1498	4089	1455	3677	2922	3383	1294	1382	447	997	613	1375	47445
18594	ZBTB39	148	350	147	342	229	257	188	244	111	233	77	209	7682
18595	ZBTB4	381	1251	437	1145	604	679	334	428	209	451	118	277	20261
18596	ZBTB40	173	442	208	501	266	326	526	534	298	753	176	451	79308
18597	ZBTB41	204	698	242	679	310	425	236	343	120	302	99	279	46860
18598	ZBTB42	18	67	25	90	30	44	22	36	19	69	9	21	3533
18599	ZBTB43	183	459	194	470	289	257	139	200	79	224	61	172	33206
18600	ZBTB44	279	817	301	864	447	516	413	518	208	673	172	584	88037
18601	ZBTB45	359	890	419	848	621	710	96	94	53	92	38	82	6031
18602	ZBTB46	88	203	101	223	91	123	114	147	85	179	88	207	61837
18603	ZBTB47	367	1019	402	1058	575	570	748	918	503	970	228	667	13898
18604	ZBTB48	102	327	103	288	174	195	119	168	75	182	53	160	9291
18605	ZBTB49	99	282	106	279	151	166	122	128	76	184	59	147	31591
18606	ZBTB5	432	1189	502	1273	571	798	716	980	430	1033	275	758	27310
18607	ZBTB6	148	443	159	446	203	268	161	172	96	197	84	184	5274
18608	ZBTB7A	528	1508	649	1605	846	975	612	927	550	1088	232	708	22227
18609	ZBTB7B	326	997	388	962	1165	1341	429	498	344	588	168	497	15897
18610	ZBTB7C	5	52	9	37	20	19	17	20	5	10	7	22	110043
18611	ZBTB8A	82	264	97	291	118	161	180	211	105	233	66	176	66807
18612	ZBTB8B	1	1	0	3	0	2	0	2	1	2	3	2	22804
18613	ZBTB8OS	101	264	91	270	153	157	197	196	105	208	66	214	29376
18614	ZBTB9	0	0	0	0	0	0	0	0	0	0	0	0	2967
18615	ZC2HC1A	57	250	83	233	123	134	293	371	119	344	140	453	53720
18616	ZC2HC1B	44	127	37	131	54	100	130	120	46	156	35	153	73912
18617	ZC2HC1C	22	80	27	60	52	69	6	6	8	4	2	13	10412
18618	ZC3H10	75	186	82	196	116	112	121	144	68	223	36	122	3939
18619	ZC3H11A	290	894	323	902	469	570	857	1133	506	1290	353	989	58593
18620	ZC3H11B	0	0	0	0	0	0	1	0	0	0	0	0	3502
18621	ZC3H12A	1356	3695	1324	3540	2261	2554	587	802	295	798	253	615	9861
18622	ZC3H12B	0	1	0	2	1	0	7	8	10	16	3	11	19154
18623	ZC3H12C	825	2108	561	1667	1438	1575	509	681	222	597	241	733	78482
18624	ZC3H12D	11	31	7	33	15	12	24	23	24	25	6	14	37384
18625	ZC3H13	250	611	248	646	398	469	482	567	218	571	191	623	90601
18626	ZC3H14	132	399	135	432	238	260	196	280	135	342	63	249	19125
18627	ZC3H15	81	286	66	265	129	144	311	419	139	427	107	392	23205
18628	ZC3H18	472	1505	578	1502	818	1022	1172	1324	733	1449	580	1396	61585
18629	ZC3H3	465	1385	587	1411	837	962	682	1068	545	1209	310	936	103797
18630	ZC3H4	947	2570	1234	2759	1690	1948	1554	2165	1116	2361	665	1871	49567
18631	ZC3H6	67	138	53	171	92	117	61	79	16	78	14	76	64464
18632	ZC3H7A	230	771	284	731	425	515	629	758	330	812	239	663	46674
18633	ZC3H7B	319	825	293	870	487	492	715	922	446	1064	254	736	58646
18634	ZC3H8	83	241	84	260	117	166	320	461	184	455	160	425	39227
18635	ZC3HAV1	322	1077	374	1033	593	664	199	227	131	311	90	227	49383
18636	ZC3HAV1L	123	412	126	373	236	274	191	249	109	322	64	231	10325
18637	ZC3HC1	135	382	138	406	212	269	276	285	169	379	95	299	33167
18638	ZC4H2	26	111	29	105	61	62	116	144	74	187	34	110	60733
18639	ZCCHC10	135	390	113	389	217	250	314	468	168	486	131	456	29621
18640	ZCCHC11	279	756	280	748	586	633	849	1111	460	1249	342	959	129817
18641	ZCCHC12	1	1	0	2	0	1	0	0	0	0	0	0	3232
18642	ZCCHC13	0	0	0	0	0	0	0	0	0	0	0	0	846
18643	ZCCHC14	483	1320	656	1350	615	804	627	736	421	1016	267	690	85610
18644	ZCCHC17	131	310	116	387	285	289	229	228	121	311	108	356	67973
18645	ZCCHC18	5	12	1	10	6	7	27	29	14	38	7	32	3323
18646	ZCCHC2	241	640	271	664	342	510	186	223	132	323	48	209	55162
18647	ZCCHC23	0	0	0	0	0	0	0	0	0	0	0	1	13102
18648	ZCCHC24	206	607	199	595	285	306	638	826	463	1101	251	599	63304
